model,valid_acc,params
linear_svc_l2,0.644580722570324,"{'C': 0.1, 'loss': 'hinge', 'penalty': 'l2'}"
svc,0.6420477269697373,{'C': 0.5}
linear_svc_l1,0.6413811491801094,"{'C': 0.1, 'dual': False, 'penalty': 'l1'}"
linear_svc_l1,0.6412478336221837,"{'C': 0.1, 'dual': False, 'penalty': 'l1'}"
log_reg,0.6401813091587788,"{'C': 1.0, 'penalty': 'l1'}"
log_reg,0.6400479936008532,"{'C': 1.0, 'penalty': 'l1'}"
gbm,0.6399146780429276,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 500}"
rf,0.6303159578722837,"{'max_depth': 4, 'min_samples_split': 4}"
dt,0.6207172377016398,"{'max_depth': 5, 'min_samples_split': 3}"
nb,0.5580589254766031,{'var_smoothing': 1e-09}
